rank,token,token_utf8_bytes,aggregate_count,sample_standard_deviation,finite_sample_standard_deviation,positive_sample_standard_deviation
427,amici,5,144,0.011357525166332889,true,true
428,andar,5,144,0.013192836781284828,true,true
429,famiglia,8,144,0.016352694599642854,true,true
430,vidi,4,144,0.037443957001618372,true,true
431,alzò,5,143,0.017080025758871329,true,true
432,anzi,4,143,0.015428274214785057,true,true
433,diede,5,142,0.01628641703481179,true,true
434,fanno,5,142,0.014321633175125057,true,true
435,guardò,7,142,0.021880033958569248,true,true
436,nei,3,142,0.022327265197268676,true,true
437,segno,5,142,0.014304448492977661,true,true
438,fratello,8,141,0.051802399282367177,true,true
439,miss,4,141,0.078054051810329955,true,true
440,appunto,7,140,0.01071982137427225,true,true
441,carrozza,8,139,0.015999583715588184,true,true
442,grandi,6,139,0.020909739092513379,true,true
443,grazia,6,138,0.016992583462727012,true,true
444,persone,7,138,0.012838390192936502,true,true
445,siete,5,138,0.018715909170468482,true,true
446,capelli,7,137,0.01739888458242422,true,true
447,cristoforo,10,137,0.024840221908773854,true,true
448,linea,5,137,0.042435833792757643,true,true
449,siamo,5,137,0.011604687757738869,true,true
450,diavolo,7,136,0.02671230469320918,true,true
451,dicendo,7,136,0.0073634508861026076,true,true
452,passi,5,136,0.010070701385466185,true,true
453,preso,5,136,0.010262865733592592,true,true
454,maniera,7,135,0.021450076192864192,true,true
455,veder,5,135,0.0091446049074119969,true,true
456,marito,6,134,0.023148995945171617,true,true
457,vedeva,6,134,0.0071290834778372095,true,true
458,brontu,6,133,0.093327528200370893,true,true
459,esclamò,8,133,0.011239412897315561,true,true
460,caro,4,132,0.020772927207580016,true,true
461,signori,7,132,0.012190449081820307,true,true
462,zio,3,132,0.054939684117411125,true,true
463,abbia,5,131,0.014014780843021435,true,true
464,avevan,6,131,0.017927760827541106,true,true
465,bachisia,8,131,0.091924106723673585,true,true
466,chiesa,6,131,0.016645982338959708,true,true
467,davvero,7,131,0.034462003159640202,true,true
468,pare,4,131,0.010630625569295143,true,true
469,sentimento,10,131,0.017462193121487734,true,true
470,addosso,7,130,0.011392444367973747,true,true
471,dar,3,130,0.012228014326838605,true,true
472,lettera,7,130,0.029276726152504266,true,true
473,messo,5,130,0.0096946156756627776,true,true
474,vuoi,4,130,0.035521843091308195,true,true
475,corso,5,129,0.034321683143734363,true,true
476,essi,4,129,0.023337394981474417,true,true
477,frate,5,129,0.021802057818419981,true,true
478,petto,5,129,0.010012934934343297,true,true
479,vista,5,129,0.015368772052114166,true,true
480,pensieri,8,128,0.013127958151956656,true,true
481,sentì,6,128,0.034058049948694061,true,true
482,sta,3,128,0.013290789419191065,true,true
483,venuto,6,128,0.010916204307948913,true,true
484,anno,4,127,0.025415458293851473,true,true
485,dolore,6,127,0.026914028778982975,true,true
486,viaggio,7,127,0.010482543431675737,true,true
487,conto,5,126,0.014586523548731875,true,true
488,ero,3,126,0.036935305407387466,true,true
489,fattorino,9,126,0.044674649214401993,true,true
490,isidoro,7,126,0.088415553031930313,true,true
491,avuto,5,125,0.0090458987828778616,true,true
492,dare,4,123,0.012368655847677372,true,true
493,volete,6,123,0.016246799750513605,true,true
494,dato,4,122,0.0070499788521371414,true,true
495,aspetto,7,121,0.012814783949635635,true,true
496,avere,5,121,0.015176319489066699,true,true
497,fretta,6,121,0.016510387580494928,true,true
498,presso,6,121,0.030221438330386204,true,true
499,resto,5,121,0.0092474515843247434,true,true
500,figliuolo,9,120,0.021519400586524629,true,true
501,par,3,120,0.015366600960973907,true,true
502,ombra,5,119,0.019152309468905362,true,true
503,compagnia,9,118,0.013540111037060064,true,true
504,guardava,8,118,0.013147956474724113,true,true
505,sapete,6,118,0.013751426518746888,true,true
506,sorriso,7,118,0.026182499871135963,true,true
507,viva,4,118,0.0093083397249735609,true,true
508,com,3,117,0.015415548611402116,true,true
509,quegli,6,117,0.013615663494691087,true,true
510,soggiunse,9,117,0.020580365113040247,true,true
511,ultima,6,117,0.015005784015252953,true,true
512,venire,6,117,0.01237993306708942,true,true
513,dov,3,116,0.01067549714135882,true,true
514,farsi,5,116,0.0081030686134913547,true,true
515,sicuro,6,116,0.011354798572242019,true,true
516,voglia,6,116,0.011255218257751316,true,true
517,corsa,5,115,0.023202503325398503,true,true
518,dello,5,115,0.014583479511287032,true,true
519,felice,6,115,0.027402536158682041,true,true
520,pietà,6,115,0.0084313633319141462,true,true
521,poveri,6,115,0.011776336706173059,true,true
522,ragazzi,7,115,0.064599601031506818,true,true
523,san,3,115,0.020579772651142275,true,true
524,ultimo,6,115,0.01188334830071338,true,true
525,curato,6,114,0.020548072675764136,true,true
526,gambe,5,114,0.031873971277152149,true,true
527,giustizia,9,114,0.014425486521272646,true,true
528,negli,5,114,0.0097525670027750772,true,true
529,sentire,7,114,0.010750904630567402,true,true
530,vede,4,114,0.0051800836111875826,true,true
531,vostra,6,114,0.014437044418705631,true,true
532,carità,7,113,0.014915064498089421,true,true
533,coraggio,8,113,0.0082955006928462777,true,true
534,corpo,5,112,0.011720953749312481,true,true
535,entrò,6,112,0.0077104550100714408,true,true
536,mare,4,112,0.037860165691954335,true,true
537,nello,5,112,0.0047970413782042736,true,true
538,bambino,7,111,0.030797830149087494,true,true
539,neppure,7,111,0.019669868632017608,true,true
540,colui,5,110,0.013795932968373028,true,true
541,luce,4,110,0.01805746936606091,true,true
542,mille,5,110,0.031566768395901834,true,true
543,pensava,7,110,0.02811231607836466,true,true
544,diss,4,109,0.064495937680888071,true,true
545,domani,6,109,0.021250517444230073,true,true
546,labbra,6,108,0.015330564197547416,true,true
547,risposta,8,108,0.0078932711106987907,true,true
548,camera,6,107,0.01002401992258644,true,true
549,oggi,4,107,0.02224120854596745,true,true
550,possibile,9,107,0.019504788532773994,true,true
551,finestra,8,106,0.018515795381568355,true,true
552,fuoco,5,106,0.015431927446815558,true,true
